index,company_id,company_name,total,handled,valuable,ICP,domain,institution
2009,南北潮商城,https://www.butian.net/Company/4472,5,1,0,N/A,N/A,N/A
2010,昆仑健康保险股份有限公司,https://www.butian.net/Company/4460,28,14,1,沪ICP备2020027764号-1,www.kunlunhealth.com,企业
2011,乐百供,https://www.butian.net/Company/4461,3,0,0,N/A,N/A,N/A
2012,中国人寿四川省公司,https://www.butian.net/Company/4466,1,1,0,N/A,N/A,N/A
2013,浙江越秀外国语学院,https://www.butian.net/Company/4463,10,9,0,浙ICP备05014601号-1,www.浙江越秀外国语学院.com,民办非企业单位
2014,南京银行,https://www.butian.net/Company/4464,15,0,0,N/A,N/A,N/A
2015,德华安顾人寿保险有限公司,https://www.butian.net/Company/4458,16,16,1,鲁ICP备13019362号-2,221.214.49.98,企业
2016,上海纬岭文化传播有限公司,https://www.butian.net/Company/4465,9,0,0,沪ICP备09086024号-1,www.vlinkage.com,企业
2017,上海美差网络科技有限公司,https://www.butian.net/Company/4454,5,0,0,沪ICP备17035997号-1,www.huacai.in,企业
2018,安徽化工学校,https://www.butian.net/Company/4456,4,3,0,皖ICP备11008070号-1,www.ahhuaxiao.cn,事业单位
